document_name,threshold,num_chunks,chunk_index,num_tokens
lulzbot_taz6_user_manual.pdf,90,80,39,5
lulzbot_taz6_user_manual.pdf,90,80,40,343
lulzbot_taz6_user_manual.pdf,90,80,41,275
lulzbot_taz6_user_manual.pdf,90,80,42,686
lulzbot_taz6_user_manual.pdf,90,80,43,43
lulzbot_taz6_user_manual.pdf,90,80,44,162
lulzbot_taz6_user_manual.pdf,90,80,45,67
lulzbot_taz6_user_manual.pdf,90,80,46,234
lulzbot_taz6_user_manual.pdf,90,80,47,61
lulzbot_taz6_user_manual.pdf,90,80,48,798
lulzbot_taz6_user_manual.pdf,90,80,49,271
lulzbot_taz6_user_manual.pdf,90,80,50,512
lulzbot_taz6_user_manual.pdf,90,80,51,156
lulzbot_taz6_user_manual.pdf,90,80,52,25
lulzbot_taz6_user_manual.pdf,90,80,53,280
lulzbot_taz6_user_manual.pdf,90,80,54,111
lulzbot_taz6_user_manual.pdf,90,80,55,443
lulzbot_taz6_user_manual.pdf,90,80,56,146
lulzbot_taz6_user_manual.pdf,90,80,57,215
lulzbot_taz6_user_manual.pdf,90,80,58,137
lulzbot_taz6_user_manual.pdf,90,80,59,208
lulzbot_taz6_user_manual.pdf,90,80,60,173
lulzbot_taz6_user_manual.pdf,90,80,61,379
lulzbot_taz6_user_manual.pdf,90,80,62,870
lulzbot_taz6_user_manual.pdf,90,80,63,143
lulzbot_taz6_user_manual.pdf,90,80,64,171
lulzbot_taz6_user_manual.pdf,90,80,65,336
lulzbot_taz6_user_manual.pdf,90,80,66,537
lulzbot_taz6_user_manual.pdf,90,80,67,29
lulzbot_taz6_user_manual.pdf,90,80,68,1368
lulzbot_taz6_user_manual.pdf,90,80,69,15
lulzbot_taz6_user_manual.pdf,90,80,70,126
lulzbot_taz6_user_manual.pdf,90,80,71,62
lulzbot_taz6_user_manual.pdf,90,80,72,252
lulzbot_taz6_user_manual.pdf,90,80,73,12
lulzbot_taz6_user_manual.pdf,90,80,74,152
lulzbot_taz6_user_manual.pdf,90,80,75,220
lulzbot_taz6_user_manual.pdf,90,80,76,33
lulzbot_taz6_user_manual.pdf,90,80,77,13
lulzbot_taz6_user_manual.pdf,90,80,78,108
lulzbot_taz6_user_manual.pdf,90,80,79,113
lulzbot_taz_workhorse_user_manual.pdf,90,105,0,47
lulzbot_taz_workhorse_user_manual.pdf,90,105,1,116
lulzbot_taz_workhorse_user_manual.pdf,90,105,2,1500
lulzbot_taz_workhorse_user_manual.pdf,90,105,3,61
lulzbot_taz_workhorse_user_manual.pdf,90,105,4,61
lulzbot_taz_workhorse_user_manual.pdf,90,105,5,273
lulzbot_taz_workhorse_user_manual.pdf,90,105,6,54
lulzbot_taz_workhorse_user_manual.pdf,90,105,7,75
lulzbot_taz_workhorse_user_manual.pdf,90,105,8,232
lulzbot_taz_workhorse_user_manual.pdf,90,105,9,231
lulzbot_taz_workhorse_user_manual.pdf,90,105,10,264
lulzbot_taz_workhorse_user_manual.pdf,90,105,11,185
lulzbot_taz_workhorse_user_manual.pdf,90,105,12,44
lulzbot_taz_workhorse_user_manual.pdf,90,105,13,115
lulzbot_taz_workhorse_user_manual.pdf,90,105,14,501
lulzbot_taz_workhorse_user_manual.pdf,90,105,15,76
lulzbot_taz_workhorse_user_manual.pdf,90,105,16,178
lulzbot_taz_workhorse_user_manual.pdf,90,105,17,285
lulzbot_taz_workhorse_user_manual.pdf,90,105,18,396
lulzbot_taz_workhorse_user_manual.pdf,90,105,19,271
lulzbot_taz_workhorse_user_manual.pdf,90,105,20,283
lulzbot_taz_workhorse_user_manual.pdf,90,105,21,128
lulzbot_taz_workhorse_user_manual.pdf,90,105,22,228
lulzbot_taz_workhorse_user_manual.pdf,90,105,23,446
lulzbot_taz_workhorse_user_manual.pdf,90,105,24,61
lulzbot_taz_workhorse_user_manual.pdf,90,105,25,88
lulzbot_taz_workhorse_user_manual.pdf,90,105,26,9
lulzbot_taz_workhorse_user_manual.pdf,90,105,27,4
